P_det_bar_EVAL_OFF,P_det_bar_EVAL_VIEWER,Y_p0.1,Y_p99.9,amb,bar_weber_displayed,clipped_pct,config,dark_log_range,dark_median,donor,file,geom,halo_ratio,headroom,lamp_d_uv,lamp_saturation_retention,lum,near_black_pct,peak,plateau_diam_max_arcmin,plateau_diam_median_arcmin,plateau_n,scene,sky_median,source_bg_contrast,used_log_range
0.999301,0.991073,0.10000001000000001,0.1903105126575237,DARK,0.4745429004231805,0.0031275411271658223,target_whiteauto,0.0,0.1903105126575237,mantiuk08,d0/work/out/mantiuk08/target_whiteauto/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.0019451375209851,525.4570470311148,0.08710342213234272,0.0006182344369451362,SDR100,0.6249869685786368,100.00001,3.2127288453890626,3.2127288453890626,1,S3_bar,0.1903105126575237,525.4570995768196,0.2794627357301436
0.999425,0.99147,0.20000002000000003,0.3473018565652149,DARK,0.4241320159414557,0.0031275411271658223,target_whiteauto,0.0,0.3473018565652149,mantiuk08,d0/work/out/mantiuk08/target_whiteauto/S3_bar__PHONE_SDR200_DARK.png,PHONE,1.001649914018694,575.8679264717516,0.08710342213234272,0.0006182344369451362,SDR200,0.6249869685786368,200.00002,3.2127288453890626,3.2127288453890626,1,S3_bar,0.3473018565652149,575.8679840585443,0.23967706582364945
0.9999,0.999897,0.10000001000000001,31.236090438295548,DARK,0.9967742470197496,99.37501303142136,native_default,0.005530399647181205,30.650020594210993,icam06,d0/work/out/icam06/native_default/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.0056100929638756,3.2014249733827023,0.08710342213234272,0.0006182344369451362,SDR100,0.6249869685786368,100.00001,3.2127288453890626,3.2127288453890626,1,S3_bar,30.650020594210993,3.262640874665104,2.4946566281482063
0.9999,0.999892,0.10000001000000001,63.27751286218584,DARK,0.9979670441649651,3.080106753403807,target_abs_dark_paper,0.21440735912521452,28.773762134995142,icam06,d0/work/out/icam06/target_abs_dark_paper/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.1752520354376426,1.5803402421614337,0.08710342213234272,0.0006182344369451362,SDR100,0.6249869685786368,100.00001,3.2127288453890626,3.2127288453890626,1,S3_bar,28.773762134995142,3.4753887771379843,2.801249357346901
0.9999,0.99989,0.10000001000000001,58.00921920411966,DARK,0.997842742008313,3.0842768082400283,target_abs_dark_readme,0.18733439914091285,28.95473149768501,icam06,d0/work/out/icam06/target_abs_dark_readme/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.1517343277963563,1.7238639197698125,0.08710342213234272,0.0006182344369451362,SDR100,0.6249869685786368,100.00001,3.2127288453890626,3.2127288453890626,1,S3_bar,28.95473149768501,3.453667322316396,2.763496976535231
-1.3e-05,-1.3e-05,0.005,0.005,DARK,0.0,0.0,DOCUMENTED_TARGET_CONFIG,0.0,0.005,aces2,d0/work/out/aces2/DOCUMENTED_TARGET_CONFIG/S3_bar__PHONE_BRIGHT500_PQ_DARK.png,PHONE,1.0,100000.0,0.05480562493855026,0.3711900425442221,BRIGHT500_PQ,99.99687245887283,459.5843135295474,,,0,S3_bar,0.005,91916.86270590947,0.0
-1.3e-05,-1.3e-05,0.005,0.005,DARK,0.0,0.0,DOCUMENTED_TARGET_CONFIG,0.0,0.005,aces2,d0/work/out/aces2/DOCUMENTED_TARGET_CONFIG/S3_bar__PHONE_HDR1000_DARK.png,PHONE,1.0,200000.0,0.0513243419362376,0.4111861038876907,HDR1000,99.99687245887283,863.8464313026853,,,0,S3_bar,0.005,172769.28626053708,0.0
-1.3e-05,-1.3e-05,0.10000001000000001,0.10000001000000001,DARK,0.0,0.001042513709055274,DOCUMENTED_TARGET_CONFIG,0.0,0.10000001000000001,aces2,d0/work/out/aces2/DOCUMENTED_TARGET_CONFIG/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.0,999.9999000000098,0.08221339051180687,0.05676319481212063,SDR100,99.99687245887283,98.14661532583962,,,0,S3_bar,0.10000001000000001,981.4660551117905,0.0
0.9999,0.999897,0.0050000005,76.16173051403888,DARK,0.9999343502246304,0.0031275411271658223,defaults,0.0,76.16173051403888,reinhard02,d0/work/out/reinhard02/defaults/S3_bar__PHONE_BRIGHT500_DARK.png,PHONE,1.0004469895497443,6.564976880453564,0.04356639022587624,0.7766474420352354,BRIGHT500,0.6249869685786368,409.52173239299594,,,0,S3_bar,76.16173051403888,5.37700141040662,4.182766755575234
0.9999,0.999897,0.10000001000000001,15.315896866803609,DARK,0.9934708355070773,0.0031275411271658223,defaults,0.0,15.315896866803609,reinhard02,d0/work/out/reinhard02/defaults/S3_bar__PHONE_SDR100_DARK.png,PHONE,1.0004443141969015,6.529163840006306,0.043585360309905584,0.7755754820455124,SDR100,0.6249869685786368,81.92295342121206,,,0,S3_bar,15.315896866803609,5.348883851442986,2.185142389831938
0.9999,0.999897,0.20000002000000003,30.63253385854852,DARK,0.9934709932608403,0.0031275411271658223,defaults,0.0,30.63253385854852,reinhard02,d0/work/out/reinhard02/defaults/S3_bar__PHONE_SDR200_DARK.png,PHONE,1.000444100307047,6.529006086259059,0.043584112686279174,0.775576519849773,SDR200,0.6249869685786368,163.84452272926848,,,0,S3_bar,30.63253385854852,5.348709430498023,2.1851528831219347
